Timestamp,Temperature,Co2Concentration
2021-01-12T00:02:05,264,572
2021-01-12T00:03:25,265,577
2021-01-12T00:05:35,266,572
2021-01-12T00:08:45,267,567
2021-01-12T00:13:15,267,562
2021-01-12T00:15:15,267,557
2021-01-12T00:23:25,266,551
2021-01-12T00:25:25,265,545
2021-01-12T00:27:15,265,540
2021-01-12T00:32:25,265,545
2021-01-12T00:35:35,264,540
2021-01-12T00:36:35,265,535
2021-01-12T00:45:05,264,540
2021-01-12T00:48:05,263,535
2021-01-12T00:49:05,262,530
2021-01-12T00:50:05,264,524
2021-01-12T00:51:45,263,529
2021-01-12T00:54:55,263,524
2021-01-12T01:00:15,262,519
2021-01-12T01:01:35,261,514
2021-01-12T01:06:45,262,509
2021-01-12T01:08:05,262,504
2021-01-12T01:10:05,263,509
2021-01-12T01:11:15,264,504
2021-01-12T01:13:45,264,499
2021-01-12T01:17:25,265,494
2021-01-12T01:19:05,264,489
2021-01-12T01:31:05,265,483
2021-01-12T01:36:35,264,478
2021-01-12T01:41:15,262,473
2021-01-12T01:42:45,262,468
2021-01-12T01:43:55,262,463
2021-01-12T01:46:15,262,458
2021-01-12T02:02:15,261,453
2021-01-12T02:04:45,261,448
2021-01-12T02:06:25,261,442
2021-01-12T02:07:55,260,437
2021-01-12T02:08:55,260,432
2021-01-12T02:11:55,260,427
2021-01-12T02:13:45,260,432
2021-01-12T02:18:35,261,437
2021-01-12T02:19:45,262,442
2021-01-12T02:25:55,262,447
2021-01-12T02:27:25,264,442
2021-01-12T02:28:25,264,437
2021-01-12T02:30:55,264,432
2021-01-12T02:32:55,264,427
2021-01-12T02:34:45,264,422
2021-01-12T02:35:45,264,417
2021-01-12T02:39:25,264,412
2021-01-12T02:49:35,263,418
2021-01-12T02:50:35,262,423
2021-01-12T02:52:05,262,418
2021-01-12T02:57:35,261,413
2021-01-12T02:58:35,261,407
2021-01-12T03:05:15,262,402
2021-01-12T04:03:35,262,397
2021-01-12T07:20:05,270,392
2021-01-12T08:37:45,254,387
2021-01-12T08:44:45,262,392
2021-01-12T08:53:05,270,397
2021-01-12T08:59:05,274,403
2021-01-12T09:00:05,274,411
